original,english,apple
Övrigt användarinnehåll,Other user content,Other User Content
Payment Info,Payment Info,Payment Info
Performance Data,Performance Data,Performance Data
Phone Number,Phone Number,Phone Number
Photos or Videos,Photos or Videos,Photos or Videos
Photos ou vidéos,Photos or videos,Photos or Videos
Physical Address,Physical Address,Physical Address
Physische Adresse,Physical address,Physical Address
Posizione approssimativa,Approximate location,Coarse Location
Posizione precisa,Precise location,Precise Location
Precise Location,Precise Location,Precise Location
Prestandadata,Performance Data,Performance Data
Prestatie­gegevens,Performance Data,Performance Data
Product Interaction,Product Interaction,Product Interaction
Product-interactie,Product interaction,Product Interaction
Produkt­interaktion,Product interaction,Product Interaction
Purchase History,Purchase History,Purchase History
Reclamegegevens,Advertising data,Advertising Data
Ruwe locatie,Rough location,Coarse Location
Salud,Health,Health
Salute,Health,Health
Santé,Health,Health
Saúde,Health,Health
Search History,Search History,Search History
Sensitive Info,Sensitive Info,Sensitive Info
Servicio de soporte técnico,Technical Support Service,Customer Support
Sökhistorik,Search history,Search History
Sonstige Benutzer-Kontaktinforma­tionen,Other user contact information,Other User Contact Info
Sonstige Benutzerinhalte,Other user content,Other User Content
Sonstige Datentypen,Other data types,Other Data Types
Sonstige Diagnosedaten,Other diagnostic data,Other Diagnostic Data
Sonstige Finanz­informationen,Other financial information,Other Financial Info
Sonstige Nutzungsdaten,Other usage data,Other Usage Data
Spelinnehåll,Game content,Gameplay Content
Spielszenen­inhalte,Game scene content,Gameplay Content
Suchverlauf,Search course,Search History
Suporte ao cliente,Customer support,Search History
Telefonnummer,Telephone number,Phone Number
Telefoonnummer,phone number,Phone Number
Ubicación aproximada,Approximate location,Coarse Location
Ubicación exacta,Exact location,Precise Location
Ungefährer Standort,Approximate location,Coarse Location
Ungefärlig plats,Approximate place,Coarse Location
User ID,User ID,User ID
Vertrauliche Daten,Confidential data,Sensitive Info
Vertrouwelijke informatie,Confidential information,Credit Info
Werbedaten,Advertising data,Advertising Data
Zahlungsdaten,Payment data,Payment Info
Zoekgeschiedenis,Search history,Search History
Адрес электронной почты,E-mail address,Email Address
Аудиоданные,Audio dedicated,Audio Data
Взаимодействие с продуктом,Interaction with the product,Product Interaction
Данные о производитель­ности,Performance data,Performance Data
Данные о сбоях,Data on failures,Crash Data
Другая финансовая информация,Other financial information,Other Financial Info
Другие данные диагностики,Other diagnostic data,Other Diagnostic Data
Другие данные об использова­нии,Other data on use,Other Usage Data
Другие типы данных,Other data types,Other Data Types
Другой пользователь­ский контент,Another user content,Other User Content
Здоровье,Health,Health
Игровой контент,Game content,Gameplay Content
Имя,Name,Name
История поиска,History asked,Search History
История покупок,Shopping history,Purchase History
История просмотров,The story of views,Browsing History
Контакты,Contacts,Contacts
Конфиден­циаль­ные данные,Confidential data,Sensitive Info
Кредитная информация,Credit information,Credit Info
Номер телефона,Phone number,Phone Number
Платежная информация,Payment information,Payment Info
Поддержка пользователей,User support,Customer Support
Приблизитель­ная геолокация,Approximate geolocation,Coarse Location
Прочие контактные данные,Other contact details,Other User Contact Info
Рекламные данные,Advertising data,Advertising Data
Точная геолокация,Accurate geolocation,Precise Location
Физический адрес,Physical address,Physical Address
Фитнес,Fitness,Fitness
Фотографии или видео,Photos or videos,Photos or Videos
Электронные или текстовые сообщения,Electronic or text messages,Emails or Text Messages
건강,health,Health
검색 기록,Search record,Search History
게임 플레이 콘텐츠,Gameplay content,Gameplay Content
고객 지원,Customer Support,Customer Support
광고 데이터,Advertising data,Advertising Data
구입 내역,Purchase details,Purchase History
기기 ID,Device ID,Device ID
기타 데이터 유형,Other data types,Other Data Types
기타 사용 데이터,Other data,Other Usage Data
기타 사용자 연락처 정보,Other user contact information,Other User Contact Info
기타 사용자 콘텐츠,Other user content,Other User Content
기타 재무 정보,Other financial information,Other Financial Info
기타 진단 데이터,Other diagnostic data,Other Diagnostic Data
대략적인 위치,Approximate location,Coarse Location
민감 정보,Sensitive information,Sensitive Info
방문 기록,Visit record,Browsing History
사용자 ID,User ID,User ID
사진 또는 비디오,Photo or video,Photos or Videos
신용 정보,Credit information,Credit Info
실적 데이터,Performance data,Performance Data
연락처,Contact,Contacts
오디오 데이터,Audio data,Audio Data
이름,name,Name
이메일 또는 문자 메시지,Email or text message,Emails or Text Messages
이메일 주소,Email Address,Email Address
전화번호,Phone number,Phone Number
정확한 위치,Exact location,Precise Location
제품 상호 작용,Product interaction,Product Interaction
주소,address,Physical Address
지불 정보,Payment information,Payment Info
충돌 데이터,Crash data,Crash Data
피트니스,fitness,Fitness
产品交互,Product interaction,Product Interaction
付款信息,payment info,Payment Info
付款資料,Payment information,Payment Info
付款資訊,Payment information,Payment Info
使用者識別碼,User recognition code,User ID
信用信息,Credit information,Credit Info
信用資訊,Credit information,Credit Info
信貸資料,Credit,Credit Info
健康,healthy,Health
健身,fitness,Fitness
其他使用数据,Other use data,Other Usage Data
其他使用狀況資料,Other use information,Other Usage Data
其他使用者內容,Other users content,Other User Content
其他使用者聯絡資訊,Other users contact information,Other User Contact Info
其他使用資料,Other use information,Other Usage Data
其他数据类型,Other data types,Other Data Types
其他用户內容,Other user content,Other User Content
其他用户内容,Other user content,Other User Content
其他用户联系信息,Other users contact information,Other User Contact Info
其他用户聯絡資料,Other user contact information,Other User Contact Info
其他診斷資料,Other diagnostic materials,Other Diagnostic Data
其他诊断数据,Other diagnostic data,Other Diagnostic Data
其他財務資料,Other financial information,Other Financial Info
其他財務資訊,Other financial information,Other Financial Info
其他資料類型,Other data types,Other Data Types
其他财务信息,Other financial information,Other Financial Info
大概位置,Approximate location,Coarse Location
姓名,Name,Name
实际地址,Actual address,Physical Address
客戶支援,Customer support,Customer Support
客户支持,Customer Support,Customer Support
客户支援,Customer support,Customer Support
實體地址,Physical address,Physical Address
崩溃数据,Collapse data,Crash Data
广告数据,Advertising data,Advertising Data
廣告資料,Advertising,Advertising Data
性能数据,Performance data,Performance Data
搜尋記錄,Search record,Search History
搜索历史记录,Search historical record,Search History
效能資料,Efficacy,Fitness
敏感信息,Sensitive information,Sensitive Info
敏感資料,Sensitive information,Sensitive Info
敏感資訊,Sensitive information,Sensitive Info
浏览历史记录,Browse history,Browsing History
游戏内容,Game content,Gameplay Content
準確位置,Accurate location,Coarse Location
瀏覽記錄,Browse record,Browsing History
照片或影片,Photos or videos,Photos or Videos
照片或视频,Photo or video,Photos or Videos
產品互動,Product interaction,Product Interaction
用户 ID,User ID,User ID
电子邮件地址,Email address,Email Address
电子邮件或短信,Email or text message,Emails or Text Messages
电话号码,phone number,Phone Number
當機資料,Machine information,Performance Data
相片或影片,Photos or videos,Photos or Videos
粗略位置,Rough position,Coarse Location
精确位置,Accurate position,Precise Location
精確位置,Accurate position,Precise Location
联系人,Contact person,Contacts
聯絡人,Contact person,Contacts
裝置 ID,Device ID,Device ID
裝置識別碼,Device recognition code,Device ID
设备 ID,Device ID,Device ID
購買記錄,Purchase History,Purchase History
购买历史记录,Buy history,Purchase History
通訊錄,Address book,Contacts
遊戲內容,Game content,Gameplay Content
電子郵件地址,Email address,Email Address
電子郵件或訊息,Email or message,Emails or Text Messages
電話號碼,phone number,Phone Number
電郵地址,email address,Email Address
電郵或訊息,Email or message,Emails or Text Messages
音訊資料,Audio information,Audio Data
音频数据,Audio data,Audio Data
